scenario_id,cell_id
normal,C001
normal,C002
normal,C003
normal,C004
normal,C005
partial_silence,C002
partial_silence,C003
partial_silence,C004
partial_silence,C005
partial_silence,C007
partial_silence,C008
partial_silence,C009
partial_silence,C011
severe_silence,C001
severe_silence,C006
severe_silence,C014
severe_silence,C019
severe_silence,C021
severe_silence,C026
complete_silence,C001
complete_silence,C002
complete_silence,C003
complete_silence,C004
low_baseline,C029
low_baseline,C059
low_baseline,C099
communication_outage,C002
communication_outage,C003
communication_outage,C004
communication_outage,C005
communication_outage,C007
communication_outage,C008
communication_outage,C009
network_failure,C001
network_failure,C006
network_failure,C014
network_failure,C019
network_failure,C021
increased_activity,C001
increased_activity,C002
increased_activity,C003
increased_activity,C004
increased_activity,C005
increased_activity,C006
disaster_progression,C001
disaster_progression,C002
disaster_progression,C003
disaster_progression,C004
disaster_progression,C005
disaster_progression,C006
disaster_progression,C007
disaster_progression,C008
