cell_id,window_start,scenario_id,expected_state,expected_severity_factor,explanation
C001,2026-08-01 00:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 00:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 00:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 00:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 01:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 01:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 01:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 01:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 02:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 02:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 02:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 02:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 03:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 03:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 03:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 03:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 04:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 04:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 04:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 04:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 05:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 05:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 05:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 05:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 06:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 06:15:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 06:30:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 06:45:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
C001,2026-08-01 07:00:00,normal,NORMAL,1.0,Scenario: normal; State: NORMAL
