cell_id,geometry_wkt,latitude,longitude,cell_type,population,household_count,building_count,road_length_km,hospital_count,school_count,shelter_count,population_density
C001,"SRID=4326;POLYGON((76.13922049170456 10.734618143848891, 76.14922049170455 10.734618143848891, 76.14922049170455 10.744618143848893, 76.13922049170456 10.744618143848893, 76.13922049170456 10.734618143848891))",10.739618143848892,76.14422049170456,commercial,18900,4200,126,307.06,0,3,0,517.44
C002,"SRID=4326;POLYGON((76.15822170339429 10.711318851156248, 76.16822170339428 10.711318851156248, 76.16822170339428 10.72131885115625, 76.15822170339429 10.72131885115625, 76.15822170339429 10.711318851156248))",10.716318851156249,76.16322170339429,residential,50648,11255,337,691.06,0,10,0,807.92
C003,"SRID=4326;POLYGON((76.18095820322827 10.714623328342135, 76.19095820322826 10.714623328342135, 76.19095820322826 10.724623328342137, 76.18095820322827 10.724623328342137, 76.18095820322827 10.714623328342135))",10.719623328342136,76.18595820322827,residential,55962,12436,373,590.08,0,11,0,891.26
C004,"SRID=4326;POLYGON((76.21347404263128 10.726520954923734, 76.22347404263127 10.726520954923734, 76.22347404263127 10.736520954923735, 76.21347404263128 10.736520954923735, 76.21347404263128 10.726520954923734))",10.731520954923734,76.21847404263127,residential,42276,9394,281,661.23,0,8,0,943.64
C005,"SRID=4326;POLYGON((76.23834850507194 10.730171005432695, 76.24834850507193 10.730171005432695, 76.24834850507193 10.740171005432696, 76.23834850507194 10.740171005432696, 76.23834850507194 10.730171005432695))",10.735171005432695,76.24334850507194,residential,44271,9838,295,456.91,0,8,0,798.46
C006,"SRID=4326;POLYGON((76.30389995552252 10.69652445159086, 76.31389995552252 10.69652445159086, 76.31389995552252 10.706524451590862, 76.30389995552252 10.706524451590862, 76.30389995552252 10.69652445159086))",10.701524451590862,76.30889995552252,commercial,19621,4360,130,369.62,0,3,0,712.7
C007,"SRID=4326;POLYGON((76.31115123966917 10.739845223351251, 76.32115123966916 10.739845223351251, 76.32115123966916 10.749845223351253, 76.31115123966917 10.749845223351253, 76.31115123966917 10.739845223351251))",10.744845223351252,76.31615123966917,residential,46859,10413,312,735.84,0,9,0,654.47
C008,"SRID=4326;POLYGON((76.35817032403256 10.713918621168437, 76.36817032403255 10.713918621168437, 76.36817032403255 10.723918621168439, 76.35817032403256 10.723918621168439, 76.35817032403256 10.713918621168437))",10.718918621168438,76.36317032403255,residential,58994,13109,393,1172.43,0,11,0,685.1
C009,"SRID=4326;POLYGON((76.37588275548254 10.709242227020411, 76.38588275548253 10.709242227020411, 76.38588275548253 10.719242227020413, 76.37588275548254 10.719242227020413, 76.37588275548254 10.709242227020411))",10.714242227020412,76.38088275548253,residential,68541,15231,456,1036.83,0,13,0,866.19
C010,"SRID=4326;POLYGON((76.38312821260826 10.705733134633023, 76.39312821260825 10.705733134633023, 76.39312821260825 10.715733134633025, 76.38312821260826 10.715733134633025, 76.38312821260826 10.705733134633023))",10.710733134633024,76.38812821260825,industrial,5635,1252,37,208.81,0,1,0,277.32
C011,"SRID=4326;POLYGON((76.16435740363846 10.749348429803668, 76.17435740363845 10.749348429803668, 76.17435740363845 10.75934842980367, 76.16435740363846 10.75934842980367, 76.16435740363846 10.749348429803668))",10.754348429803668,76.16935740363846,residential,64963,14436,433,877.17,0,12,0,883.45
C012,"SRID=4326;POLYGON((76.18787779126338 10.694262268019681, 76.19787779126337 10.694262268019681, 76.19787779126337 10.704262268019683, 76.18787779126338 10.704262268019683, 76.18787779126338 10.694262268019681))",10.699262268019682,76.19287779126337,residential,43776,9728,291,838.73,0,8,0,650.06
C013,"SRID=4326;POLYGON((76.20516436047497 10.746155742965675, 76.21516436047496 10.746155742965675, 76.21516436047496 10.756155742965676, 76.20516436047497 10.756155742965676, 76.20516436047497 10.746155742965675))",10.751155742965675,76.21016436047496,residential,66444,14765,442,795.49,0,13,0,713.22
C014,"SRID=4326;POLYGON((76.23205899673232 10.77069788362599, 76.24205899673231 10.77069788362599, 76.24205899673231 10.780697883625992, 76.23205899673232 10.780697883625992, 76.23205899673232 10.77069788362599))",10.775697883625991,76.23705899673232,commercial,37313,8291,248,835.85,0,7,0,609.44
C015,"SRID=4326;POLYGON((76.24424272726043 10.74535664469854, 76.25424272726042 10.74535664469854, 76.25424272726042 10.75535664469854, 76.24424272726043 10.75535664469854, 76.24424272726043 10.74535664469854))",10.75035664469854,76.24924272726042,residential,68630,15251,457,603.41,0,13,0,915.43
